,title,genre,mood
494,The Governor,drama,thrilled
495,LEGO Friends: The Power of Friendship,animation,thrilled
496,One More Time,scifi,thrilled
497,Unchained fate,scifi,thrilled
498,Luna Petunia,animation,thrilled
499,Fearless,documentation,learn
500,Bottersnikes & Gumbles,action,thrilled
501,My Sunshine,drama,thrilled
502,Spark,drama,thrilled
503,Love Storm,family,nostalgic
504,Close Your Eyes Before It's Dark,thriller,thrilled
505,Best Lover,drama,thrilled
506,Miss in Kiss,comedy,laugh
507,"Have You Ever Fallen in Love, Miss Jiang?",drama,thrilled
508,Secret of Success,drama,thrilled
509,The Creative Indians,documentation,learn
510,Back to 1989,scifi,thrilled
511,The Dream Job,drama,thrilled
512,Tariqi: My Way,drama,thrilled
513,Mind Game,action,thrilled
514,Bibik Bibikku,drama,thrilled
515,Derry Girls,comedy,laugh
516,The Sinner,crime,thrilled
517,Ozark,drama,thrilled
518,Dark,scifi,thrilled
519,Legacies,drama,thrilled
520,Manifest,drama,thrilled
521,Riverdale,crime,thrilled
522,Cobra Kai,action,thrilled
523,Mindhunter,drama,thrilled
524,Money Heist,thriller,thrilled
525,All American,drama,thrilled
526,You,crime,thrilled
527,Lost in Space,drama,thrilled
528,Bodyguard,war,thrilled
529,Rise of the Teenage Mutant Ninja Turtles,action,thrilled
530,American Vandal,crime,thrilled
531,Godless,drama,thrilled
532,Somebody Feed Phil,documentation,learn
533,Manhunt,crime,thrilled
534,The Haunting of Hill House,thriller,thrilled
535,Babylon Berlin,drama,thrilled
536,Altered Carbon,scifi,thrilled
537,Castlevania,animation,thrilled
538,Dirty John,crime,thrilled
539,Dynasty,drama,thrilled
540,Good Girls,drama,thrilled
541,HAPPY!,scifi,thrilled
542,Wet Hot American Summer: Ten Years Later,comedy,laugh
543,Workin' Moms,comedy,laugh
544,Maniac,scifi,thrilled
545,Wild Wild Country,crime,thrilled
546,Anne with an E,drama,thrilled
547,The End of the F***ing World,drama,thrilled
548,Trolls: The Beat Goes On!,comedy,laugh
549,Atypical,comedy,laugh
550,A Series of Unfortunate Events,drama,thrilled
551,Charmed,drama,thrilled
552,Alias Grace,drama,thrilled
553,Cold Case Files,crime,thrilled
554,One Day at a Time,comedy,laugh
555,The Bureau of Magical Things,scifi,thrilled
556,Santa Clarita Diet,comedy,laugh
557,Safe,drama,thrilled
558,Stranger,crime,thrilled
559,Cocomelon,animation,thrilled
560,Disenchantment,scifi,thrilled
561,Big Mouth,comedy,laugh
562,Knightfall,action,thrilled
563,GLOW,drama,thrilled
564,Oats Studios,scifi,thrilled
565,Watership Down,animation,thrilled
566,BAKI,drama,thrilled
567,The Kominsky Method,drama,thrilled
568,Black Spot,drama,thrilled
569,Elite,thriller,thrilled
570,The Keepers,documentation,learn
571,13 Reasons Why,drama,thrilled
572,Imposters,drama,thrilled
573,Teasing Master Takagi-san,animation,thrilled
574,Narcos: Mexico,drama,thrilled
575,Black Lightning,action,thrilled
576,Salt Fat Acid Heat,documentation,learn
577,Mystery Science Theater 3000,scifi,thrilled
578,Deadwind,crime,thrilled
579,Seven Seconds,crime,thrilled
580,Queer Eye,reality,laugh
581,Violet Evergarden,animation,thrilled
582,Rascal Does Not Dream of Bunny Girl Senpai,comedy,laugh
583,James Acaster: Repertoire,comedy,laugh
584,Devilman Crybaby,animation,thrilled
585,Hilda,animation,thrilled
586,Collateral,thriller,thrilled
587,Cells at Work!,comedy,laugh
588,My Little Pony: Equestria Girls,animation,thrilled
589,The Dragon Prince,action,thrilled
590,Rust Valley Restorers,documentation,learn
591,Five Came Back,war,thrilled
592,She-Ra and the Princesses of Power,scifi,thrilled
593,Chilling Adventures of Sabrina,thriller,thrilled
594,Evil Genius,documentation,learn
595,Everything Sucks!,drama,thrilled
596,Nightflyers,scifi,thrilled
597,Dark Tourist,action,thrilled
598,Pine Gap,drama,thrilled
599,Dear White People,comedy,laugh
600,Troy: Fall of a City,action,thrilled
601,The Forest,drama,thrilled
602,Cable Girls,drama,thrilled
603,Aggretsuko,animation,thrilled
604,Jack Whitehall: Travels with My Father,reality,laugh
605,Two Sentence Horror Stories,drama,thrilled
606,Dirty Money,documentation,learn
607,Requiem,drama,thrilled
608,The Rain,scifi,thrilled
609,Sunderland 'Til I Die,documentation,learn
610,Nailed It!,reality,laugh
611,My Mister,drama,thrilled
612,Bakugan: Battle Planet,animation,thrilled
613,Dave Chappelle,comedy,laugh
614,Damnation,western,thrilled
615,Innocent,drama,thrilled
616,Great News,comedy,laugh
617,Better Than Us,scifi,thrilled
618,Insatiable,drama,thrilled
619,Zoids Wild,action,thrilled
620,Explained,documentation,learn
621,The Toys That Made Us,documentation,learn
622,Perfume,crime,thrilled
623,Mr. Sunshine,drama,thrilled
624,Friends from College,comedy,laugh
625,Disjointed,comedy,laugh
626,Sisters,drama,thrilled
627,Creeped Out,scifi,thrilled
628,Wormwood,crime,thrilled
629,Polly Pocket,fantasy,thrilled
630,Norm Macdonald Has a Show,comedy,laugh
631,Kakegurui,drama,thrilled
632,Al Hayba,drama,thrilled
633,Tidelands,scifi,thrilled
634,Gypsy,drama,thrilled
635,Transformers: Cyberverse,action,thrilled
636,Abstract: The Art of Design,documentation,learn
637,White Gold,comedy,laugh
638,Wanderlust,drama,thrilled
639,The Boss Baby: Back in Business,action,thrilled
640,Unauthorized Living,drama,thrilled
641,The Innocent Man,documentation,learn
642,Unit 42,crime,thrilled
643,Numberblocks,animation,thrilled
644,Hot Girls Wanted: Turned On,documentation,learn
645,VeggieTales in the City,comedy,laugh
646,Valor,drama,thrilled
647,The Hollow,comedy,laugh
648,B: The Beginning,scifi,thrilled
649,Hotel Transylvania: The Series,family,nostalgic
650,The Hook Up Plan,comedy,laugh
651,Car Masters: Rust to Riches,reality,laugh
652,On My Block,comedy,laugh
